#NAME,RA,DEC,SBF,NED_D,VIRGO,VHel,D,M_K,A_B,T-type,log_RE,DA
NGC6017,239.314529,5.998364,1,1,0,1788,29.0,-22.52,0.23,-5.0,0.85,118.496040653
NGC6278,255.209763,23.010956,0,0,0,2832,42.9,-24.19,0.27,-1.9,1.22,80.1194483036
NGC6547,271.291748,25.232645,0,0,0,2677,40.8,-23.60,0.50,-1.3,1.06,84.2416331463
NGC6548,271.496826,18.587217,1,1,0,2208,22.4,-23.19,0.35,-1.9,1.35,153.369004715
NGC6703,281.828522,45.550648,1,4,0,2373,25.9,-23.85,0.37,-2.8,1.34,132.66563863
NGC6798,291.013306,53.624752,0,0,0,2360,37.5,-23.52,0.57,-2.0,1.23,91.6515265328
NGC7280,336.614899,16.148266,1,2,0,1845,23.7,-22.83,0.24,-1.3,1.33,144.966617141
NGC7332,339.352173,23.798351,1,1,0,1197,22.4,-23.75,0.16,-1.9,1.24,153.369004715
NGC7454,345.277130,16.388371,1,3,0,2020,23.2,-23.00,0.33,-4.7,1.41,148.08707483
NGC7693,353.293671,-1.292010,0,0,0,2502,35.4,-21.58,0.15,-1.0,1.11,97.0856719642
NGC7710,353.942261,-2.880941,0,0,0,2407,34.0,-21.99,0.15,-1.9,0.92,101.081059074
PGC042549,190.316513,-5.009177,0,0,0,2822,40.7,-22.71,0.11,-5.0,1.06,84.44853189
PGC044433,194.578110,13.391409,0,0,0,2675,40.1,-22.25,0.13,0.0,0.71,85.7115812202
PGC050395,211.913544,54.794575,0,0,0,2322,37.2,-21.92,0.05,0.0,1.04,92.3902973174
PGC056772,240.548340,7.085953,0,0,0,2655,39.5,-22.06,0.19,-2.0,0.93,87.012977456
PGC058114,246.517838,2.906550,0,0,0,1507,23.8,-21.57,0.29,-2.0,0.97,144.358230999
PGC061468,272.360748,19.117682,0,0,0,2371,36.2,-21.68,0.35,0.0,1.06,94.9412353571
PGC071531,352.121338,19.863962,0,0,0,2030,30.4,-21.74,0.53,-4.0,0.88,113.043013866
PGC170172,176.731720,-5.187745,0,0,0,2562,37.1,-21.89,0.08,-5.0,0.89,92.6392073879
UGC03960,115.094856,23.275089,0,0,0,2255,33.2,-21.89,0.20,-4.9,1.24,103.515292528
UGC04551,131.024582,49.793968,0,0,0,1728,28.0,-22.92,0.10,-2.0,1.03,122.724509333
UGC05408,150.966095,59.436138,0,0,0,2998,45.8,-22.03,0.06,-3.3,0.84,75.0480488859
UGC06062,164.656662,9.050468,0,0,0,2634,38.7,-22.82,0.13,-2.0,1.05,88.8109032337
UGC06176,166.852753,21.657185,0,0,0,2677,40.1,-22.66,0.08,-2.0,1.03,85.7115812202
UGC08876,209.241943,45.973179,0,0,0,2085,33.9,-22.37,0.04,-0.1,0.93,101.3790607
UGC09519,221.588028,34.370651,0,0,0,1631,27.6,-21.98,0.09,-1.9,0.87,124.501581685
IC0065,15.230966,47.681984,0,0,0,2614,39.7,-23.54,0.64,4.0,1.38,86.5748107094
IC0239,39.116250,38.970000,0,0,0,903,15.7,-22.23,0.31,6.0,1.90,218.669370766
IC0750,179.717606,42.722404,0,1,0,701,36.8,-24.71,0.09,2.1,1.24,93.3940482804
IC0777,184.849228,28.309881,0,0,0,2541,39.0,-21.92,0.10,2.6,0.95,88.1280428631
IC0800,188.486313,15.354542,0,0,0,2326,35.8,-22.20,0.16,5.2,1.56,96.0014829089
IC0851,197.143127,21.049742,0,0,0,2615,39.8,-21.82,0.15,3.1,1.31,86.3573776729
IC0902,204.005051,49.960720,0,0,0,1618,27.9,-21.81,0.05,3.1,1.18,123.164006489
IC1151,239.634705,17.441553,0,0,0,2169,33.7,-22.24,0.16,5.2,1.35,101.980364975
IC1158,240.391968,1.707832,0,0,0,1927,29.4,-22.15,0.49,5.1,1.45,116.885100391
IC1265,264.164398,42.088383,0,0,0,2169,34.7,-21.71,0.14,2.0,1.26,99.0430996754
IC1447,337.499146,-5.119929,0,0,0,2953,41.6,-22.87,0.24,3.1,1.43,82.6222316264
IC1596,13.678428,21.522646,0,0,0,2674,38.9,-21.54,0.21,2.0,1.13,88.3544934768
IC1711,22.730280,17.188482,0,0,0,2801,40.2,-23.52,0.45,3.0,1.10,85.4984563509
IC2166,96.731789,59.080109,0,0,0,2692,41.1,-23.81,0.44,4.7,1.59,83.6269741598
IC2327,125.366501,3.169287,0,0,0,2684,37.8,-21.96,0.11,1.1,1.06,90.9244740013
IC2461,139.991791,37.191048,0,0,0,2260,34.7,-22.65,0.05,3.2,1.07,99.0430996754
IC4582,236.414215,28.088715,0,0,0,2145,34.0,-22.09,0.13,4.1,0.97,101.081059074
IC5334,353.651733,-4.534227,0,0,0,2209,31.1,-22.50,0.18,2.7,1.04,110.500409685
NGC0063,4.439690,11.450358,1,1,0,1160,18.2,-22.08,0.48,-3.0,1.34,188.697447882
NGC0278,13.017918,47.550537,0,0,0,627,12.8,-22.77,0.62,2.9,1.42,268.029543683
NGC0428,18.232122,0.981581,0,0,0,1152,16.7,-21.74,0.12,8.6,1.69,205.607589437
NGC0473,19.979469,16.544645,0,0,0,2134,31.1,-22.93,0.39,-0.3,1.23,110.500409685
NGC0493,20.537439,0.945335,0,0,0,2338,32.8,-22.32,0.14,5.9,1.50,104.776897217
NGC0514,21.016270,12.917349,0,1,0,2472,34.4,-23.55,0.17,5.3,1.72,99.9063634862
NGC0573,22.705626,41.257317,0,0,0,2788,41.6,-22.03,0.22,0.0,1.02,82.6222316264
NGC0620,24.248648,42.323357,0,0,0,2507,37.8,-21.90,0.29,7.0,1.26,90.9244740013
NGC0628,24.174049,15.783460,0,3,0,657,7.2,-22.47,0.30,5.2,2.15,474.429762178
NGC0660,25.759790,13.645680,0,0,0,850,13.5,-23.33,0.28,1.2,1.84,254.183687944
NGC0678,27.353580,21.997299,0,0,0,2835,40.9,-24.39,0.37,3.0,1.29,84.0357455264
NGC0693,27.628531,6.145210,0,0,0,1567,22.5,-22.56,0.23,0.2,1.21,152.688262789
NGC0718,28.305481,4.195917,0,0,0,1733,24.6,-23.23,0.16,1.0,1.37,139.668905342
NGC0779,29.927605,-5.964152,0,2,0,1362,23.0,-23.75,0.12,3.0,1.47,149.37317532
NGC0803,30.936255,16.030960,0,0,0,2101,30.4,-22.61,0.22,5.3,1.44,113.043013866
NGC0864,33.865170,6.002620,0,0,0,1562,22.4,-23.24,0.21,5.1,1.92,153.369004715
NGC0891,35.639167,42.349167,1,6,0,528,8.1,-23.64,0.28,3.0,2.01,422.276445791
NGC0895,35.401958,-5.521394,0,1,0,2288,36.6,-23.42,0.11,6.0,1.66,93.9041451355
NGC0918,36.461667,18.496111,0,0,0,1507,22.5,-22.83,1.53,5.2,1.67,152.688262789
NGC0925,36.820469,33.578880,0,21,0,553,9.1,-21.95,0.33,7.0,2.15,376.26464697
NGC0955,37.637962,-1.108482,0,0,0,1487,20.8,-22.85,0.16,2.0,1.18,165.149124016
NGC1012,39.812347,30.151669,0,0,0,987,16.3,-21.77,0.63,0.0,1.47,210.640705816
NGC1015,39.548187,-1.318618,0,0,0,2629,36.3,-23.47,0.14,1.0,1.35,94.6798216753
NGC1032,39.848667,1.093801,0,0,0,2694,37.4,-24.50,0.16,0.4,1.37,91.8964675207
NGC1068,40.669880,-0.013290,0,2,0,1137,19.0,-25.62,0.14,3.0,1.52,180.767250251
NGC1073,40.919159,1.375870,0,0,0,1208,17.2,-22.22,0.17,5.3,1.94,199.644254504
NGC1090,41.641315,-0.247042,0,0,0,2760,38.2,-23.72,0.14,3.7,1.60,89.9728222787
NGC1134,43.422256,13.014126,0,1,0,3640,39.3,-24.22,0.70,3.0,1.35,87.455601044
NGC1253,48.537689,-2.822950,0,1,0,1713,16.0,-21.79,0.39,5.9,1.71,214.5800625
NGC1320,51.202942,-3.042299,0,0,0,2663,36.6,-23.47,0.20,1.1,1.15,93.9041451355
NGC1637,70.367622,-2.858040,0,8,0,717,9.9,-22.01,0.17,5.0,1.82,346.073333875
NGC1924,82.008209,-5.310648,0,1,0,2558,31.6,-23.20,0.46,4.0,1.35,108.753161131
NGC2273,102.536095,60.845695,0,1,0,1840,31.6,-24.04,0.30,1.0,1.42,108.753161131
NGC2273A,100.029358,60.080662,0,0,0,2100,33.2,-22.24,0.35,5.9,1.57,103.515292528
NGC2344,108.119598,47.166794,0,0,0,974,17.2,-21.95,0.45,4.4,1.51,199.644254504
NGC2365,110.593948,22.083260,0,1,0,2278,40.9,-24.07,0.25,1.0,1.45,84.0357455264
NGC2460,119.217789,60.349377,0,1,0,1442,40.2,-24.51,0.31,1.9,1.28,85.4984563509
