#NAME,RA,DEC,SBF,NED_D,VIRGO,VHel,D,M_K,A_B,T-type,log_RE,DA
NGC5356,208.743423,5.333607,0,0,0,1374,23.7,-22.25,0.11,3.8,1.41,144.966617141
NGC5371,208.916763,40.461769,0,2,0,2558,31.4,-24.88,0.04,4.0,1.84,109.445389943
NGC5375,209.233276,29.164293,0,0,0,2386,37.3,-23.62,0.09,2.4,1.45,92.1427209243
NGC5377,209.069458,47.235565,0,1,0,1793,31.0,-24.10,0.07,1.0,1.51,110.85661596
NGC5492,212.646622,19.612354,0,0,0,2271,35.3,-22.57,0.17,3.0,1.08,97.3605553632
NGC5496,212.907730,-1.158720,0,0,0,1541,24.8,-21.68,0.25,6.5,1.58,138.543767342
NGC5523,213.717957,25.317614,0,0,0,1039,18.9,-21.65,0.08,5.8,1.50,181.7219147
NGC5526,213.473862,57.771317,0,0,0,2004,33.0,-22.28,0.05,4.1,1.20,104.142275336
NGC5560,215.018738,3.992653,0,0,0,1729,27.6,-22.74,0.13,3.0,1.27,124.501581685
NGC5584,215.599213,-0.387449,0,0,0,1638,26.0,-22.14,0.17,6.0,1.65,132.155889706
NGC5602,215.578476,50.501423,0,0,0,2230,35.9,-23.19,0.09,1.0,1.21,95.7342077332
NGC5630,216.902420,41.257816,0,0,0,2655,41.3,-22.24,0.05,8.0,1.29,83.2221595068
NGC5645,217.664169,7.275004,0,0,0,1370,23.1,-22.14,0.12,6.6,1.58,148.727346515
NGC5661,217.989166,6.250472,0,0,0,2354,35.6,-21.56,0.14,3.2,1.12,96.5405343628
NGC5667,217.595367,59.469677,0,0,0,1943,32.2,-22.08,0.04,5.9,1.49,106.72801894
NGC5678,218.023270,57.921436,0,2,0,1922,30.0,-24.11,0.05,3.3,1.54,114.54914598
NGC5730,219.967453,42.742340,0,0,0,2533,39.8,-22.00,0.07,9.6,1.23,86.3573776729
NGC5740,221.101761,1.679692,0,1,0,1572,30.5,-23.56,0.16,3.0,1.46,112.672646837
NGC5777,222.824158,58.977810,0,0,0,2145,34.9,-23.41,0.05,3.2,1.13,98.4758287762
NGC5795,224.082840,49.400208,0,0,0,2366,37.7,-22.99,0.08,4.9,1.23,91.165540069
NGC5850,226.781982,1.544280,0,0,0,2556,37.9,-24.81,0.24,3.1,1.83,90.6846791627
NGC5894,227.920563,59.808823,0,0,0,2466,39.3,-23.92,0.05,8.0,1.42,87.455601044
NGC5921,230.485672,5.070540,0,0,0,1480,23.9,-23.81,0.17,4.0,1.75,143.754927019
NGC5951,233.429459,15.007294,0,0,0,1780,28.5,-22.24,0.21,5.2,1.51,120.573228781
NGC5958,233.704681,28.655119,0,0,0,2007,32.2,-22.14,0.11,4.6,1.29,106.72801894
NGC5961,233.818588,30.864090,0,0,0,1828,29.9,-21.67,0.12,2.5,1.05,114.931968558
NGC5981,234.469437,59.393959,0,0,0,1764,29.8,-23.03,0.11,4.3,1.22,115.317357536
NGC5985,234.904541,59.331951,0,0,0,2517,40.0,-24.86,0.07,3.0,1.77,85.9257710499
NGC6012,238.558105,14.601240,0,0,0,1854,29.3,-22.81,0.16,1.7,1.48,117.283716698
NGC6015,237.855133,62.310032,0,0,0,835,17.1,-22.70,0.05,6.0,1.70,200.809118504
NGC6063,241.804016,7.979009,0,3,0,2848,41.1,-22.54,0.20,5.9,1.39,83.6269741598
NGC6070,242.494522,0.709315,0,1,0,2004,26.8,-23.45,0.63,6.0,1.58,128.214651225
NGC6106,244.696701,7.411013,0,0,0,1448,23.3,-22.25,0.29,5.3,1.41,147.452288891
NGC6118,245.452591,-2.283422,0,0,0,1573,24.3,-23.28,0.68,6.0,1.73,141.391280747
NGC6155,246.534607,48.366920,0,0,0,2418,38.4,-22.96,0.06,5.4,1.35,89.5044261224
NGC6181,248.087372,19.826603,0,1,0,2375,35.0,-24.07,0.27,5.2,1.31,98.194622497
NGC6207,250.765625,36.832424,0,3,0,852,21.4,-22.53,0.07,4.9,1.40,160.525599362
NGC6339,259.277100,40.844959,0,0,0,2108,33.9,-21.69,0.13,6.4,1.38,101.3790607
NGC6368,261.798096,11.543621,0,0,0,2764,41.2,-23.94,0.66,3.1,1.37,83.4240758426
NGC6384,263.101257,7.060270,0,2,0,1665,18.5,-23.85,0.53,3.6,1.96,185.643483535
NGC6555,271.954865,17.604898,0,0,0,2225,34.2,-22.87,0.42,5.2,1.44,100.490279432
NGC6675,279.360321,40.057709,0,0,0,2495,38.9,-23.46,0.30,4.0,1.43,88.3544934768
NGC6757,286.263977,55.715137,0,0,0,2380,37.8,-22.78,0.31,0.0,1.50,90.9244740013
NGC6764,287.068115,50.933094,0,1,0,2416,37.4,-23.54,0.29,3.6,1.55,91.8964675207
NGC6796,290.378387,61.144833,0,0,0,2189,35.3,-23.58,0.30,4.0,1.28,97.3605553632
NGC7137,327.054321,22.159580,0,0,0,1686,26.3,-23.29,0.59,5.0,1.44,130.64986756
NGC7177,330.171875,17.738117,0,1,0,1150,20.5,-23.41,0.32,2.5,1.35,167.562141943
NGC7217,331.968201,31.359255,0,0,0,952,16.9,-24.34,0.38,2.5,1.69,203.180059727
NGC7241,333.957825,19.232361,0,0,0,1447,22.8,-22.83,0.23,4.0,1.38,150.68179603
NGC7328,339.372070,10.531584,0,0,0,2825,40.9,-23.45,0.36,2.1,1.35,84.0357455264
NGC7339,339.445374,23.786671,0,1,0,1313,17.0,-22.60,0.16,4.0,1.35,201.987639806
NGC7347,339.984009,11.027560,0,0,0,2239,32.9,-21.88,0.25,4.6,1.18,104.458622696
NGC7416,343.923767,-5.495346,0,0,0,2859,40.1,-23.79,0.19,3.0,1.40,85.7115812202
NGC7463,345.466583,15.981848,0,0,0,2341,34.5,-22.47,0.32,3.0,1.17,99.616942139
NGC7479,346.236115,12.322879,0,1,0,2381,31.1,-24.30,0.49,4.4,1.68,110.500409685
NGC7497,347.264282,18.177181,0,0,0,1708,26.0,-23.00,0.77,6.2,1.69,132.155889706
NGC7625,350.125549,17.225601,0,0,0,1633,24.8,-23.11,0.11,1.0,1.25,138.543767342
NGC7678,352.116211,22.421183,0,1,0,3489,35.3,-23.62,0.21,4.9,1.56,97.3605553632
NGC7694,353.315674,-2.702838,0,0,0,2281,32.2,-21.77,0.20,10.0,1.34,106.72801894
NGC7714,354.058746,2.155020,0,0,0,2798,39.6,-23.25,0.23,3.1,1.08,86.7933411944
NGC7716,354.131073,0.297313,0,0,0,2579,36.5,-23.51,0.15,3.0,1.37,94.1612882849
NGC7742,356.065460,10.767097,0,0,0,1663,24.7,-23.35,0.24,2.8,1.25,139.104062462
NGC7743,356.088043,9.934042,1,2,0,1710,20.1,-23.13,0.30,-0.9,1.59,170.891274683
NGC7814,0.812280,16.145229,1,4,0,1050,12.8,-23.47,0.19,2.0,1.61,268.029543683
PGC005363,21.638643,39.881031,0,0,0,2610,39.1,-21.81,0.25,0.0,1.04,87.9027498056
PGC009485,37.381905,-3.212962,0,0,0,2435,33.6,-22.42,0.12,0.0,1.23,102.28369914
PGC058798,250.512970,-5.032629,0,1,0,1565,22.6,-22.79,2.02,4.1,1.63,152.013533304
PGC069448,340.062988,-2.424036,0,0,0,2970,42.0,-22.36,0.23,3.9,1.43,81.8356518962
PGC2800919,323.974976,-3.148177,0,0,0,2873,40.9,-21.90,0.18,0.0,0.78,84.0357455264
UGC00260,6.762131,11.583811,0,0,0,2131,30.9,-22.12,0.33,5.8,1.19,111.215125372
UGC01551,30.906231,24.075525,0,0,0,2671,38.8,-21.70,0.40,6.1,1.51,88.5821105888
UGC02143,39.902344,36.081223,0,0,0,2754,40.6,-21.77,0.22,3.7,1.09,84.656449223
UGC02997,64.020348,8.180137,0,0,0,1592,22.7,-21.59,1.84,-0.1,1.12,151.344737006
UGC03045,66.673920,20.407866,0,0,0,1387,20.8,-22.02,2.53,5.0,1.09,165.149124016
UGC03053,67.040306,21.655323,0,0,0,2414,34.8,-23.00,1.95,5.9,1.26,98.7586498538
UGC03258,77.679207,0.408305,0,0,0,2821,38.9,-22.61,0.29,2.0,1.32,88.3544934768
UGC03685,107.274811,61.595520,0,0,0,1797,29.2,-22.88,0.25,3.0,1.55,117.685060066
UGC04621,132.549164,35.076431,0,0,0,2306,35.0,-22.31,0.17,1.0,1.16,98.194622497
UGC04824,137.889893,51.254295,0,0,0,2184,34.3,-21.52,0.08,6.4,1.26,100.197470992
UGC04906,139.416351,52.992760,0,0,0,2304,36.0,-23.38,0.06,1.1,1.24,95.4684162717
UGC05376,150.112793,3.374309,0,0,0,2054,30.2,-22.63,0.11,7.8,1.01,113.791098193
UGC05403,150.648163,19.177067,0,0,0,2082,31.7,-22.18,0.14,0.0,0.97,108.410318986
UGC05720,158.133148,54.400982,0,0,0,1430,24.8,-21.55,0.05,9.9,1.05,138.543767342
UGC06402,170.829742,-0.922440,0,0,0,2608,37.8,-21.67,0.19,8.0,1.02,90.9244740013
UGC06517,173.010040,36.698124,0,0,0,2491,38.5,-21.82,0.12,3.7,1.28,89.2720517297
UGC06879,178.604523,-2.319723,0,0,0,2388,35.1,-21.82,0.11,7.2,1.38,97.9150172296
UGC07179,182.741882,63.914570,0,0,0,2630,41.3,-23.33,0.08,0.0,1.19,83.2221595068
UGC08067,194.300690,-1.706808,0,0,0,2833,41.2,-22.66,0.08,3.6,1.28,83.4240758426
UGC08658,205.166290,54.333004,0,0,0,2029,33.3,-21.90,0.07,5.0,1.62,103.204622817
UGC08693,206.118393,35.192299,0,0,0,2438,38.2,-21.55,0.05,4.4,1.18,89.9728222787
UGC08756,207.649658,42.541439,0,0,0,1354,24.4,-21.60,0.06,1.3,1.03,140.812457549
UGC09665,225.385208,48.319904,0,0,0,2558,40.3,-22.77,0.10,4.0,1.11,85.2863885208
UGC09703,226.359467,46.565308,0,0,0,2471,39.1,-21.89,0.09,0.0,1.07,87.9027498056
UGC09741,227.139587,52.296146,0,0,0,2498,39.6,-21.65,0.10,3.0,1.16,86.7933411944
UGC09977,235.498138,0.713232,0,0,0,1915,29.2,-21.77,0.49,5.3,1.35,117.685060066
UGC10043,237.171616,21.869387,0,0,0,2161,33.8,-22.26,0.25,4.1,1.09,101.678824112
UGC10288,243.603348,-0.207540,0,0,0,2044,30.8,-23.10,0.58,5.3,1.50,111.575960325
UGC10743,257.878113,7.994538,0,2,0,2569,39.4,-22.66,0.69,1.0,1.07,87.2337279065
UGC10985,267.018494,14.741472,0,0,0,1801,28.3,-21.55,0.41,9.1,1.40,121.424630354
UGC12010,335.828033,5.533870,0,0,0,2797,40.2,-21.65,0.58,2.0,1.21,85.4984563509
UGC12074,338.276215,8.097454,0,0,0,1988,29.3,-21.67,0.67,0.0,1.09,117.283716698
UGC12300,345.154968,12.782273,0,0,0,2294,33.6,-22.12,0.80,0.9,1.13,102.28369914
UGC12518,350.053253,7.932117,0,0,0,2787,40.0,-22.59,0.49,3.0,1.09,85.9257710499
UGC12857,359.198029,1.355099,0,0,0,2477,35.1,-22.05,0.12,4.0,1.10,97.9150172296
