name ra dec
NGC3642 170.575058 59.074242
NGC3652 170.662735 37.765038
NGC3655 170.727524 16.590174
NGC3669 171.361725 57.721165
NGC3681 171.624176 16.863222
NGC3683 171.882874 56.876709
NGC3684 171.796555 17.03031
NGC3686 171.93309 17.224058
NGC3689 172.045853 25.661039
NGC3718 173.145584 53.067829
NGC3726 173.338226 47.029091
NGC3729 173.455505 53.125496
NGC3755 174.139008 36.410301
NGC3756 174.19989 54.293682
NGC3769 174.433777 47.893093
NGC3780 174.843216 56.270725
NGC3786 174.926971 31.909365
NGC3788 174.935822 31.931305
NGC3810 175.244736 11.471132
NGC3813 175.327728 36.5467
NGC3877 176.532425 47.494499
NGC3898 177.314041 56.084351
NGC3900 177.289307 27.022076
NGC3917 177.689529 51.824211
NGC3938 178.206055 44.120731
NGC3949 178.42395 47.858784
NGC3953 178.454285 52.326542
NGC3972 178.937988 55.320671
NGC3982 179.117371 55.125362
NGC3992 179.399933 53.374519
NGC4010 179.658295 47.261311
NGC4013 179.630905 43.947021
NGC4041 180.55072 62.137287
NGC4051 180.790359 44.531261
NGC4064 181.046631 18.443451
NGC4085 181.344604 50.352749
NGC4088 181.392456 50.539028
NGC4100 181.535843 49.58231
NGC4102 181.596313 52.710949
NGC4123 182.046173 2.878309
NGC4138 182.374115 43.685318
NGC4145 182.506348 39.883862
NGC4151 182.636078 39.405762
NGC4157 182.768188 50.48468
NGC4178 183.193512 10.865998
NGC4180 183.262726 7.038787
NGC4189 183.446991 13.424846
NGC4192 183.451218 14.90047
NGC4205 183.731598 63.782757
NGC4206 183.820312 13.02384
NGC4207 183.876816 9.58494
NGC4212 183.914062 13.901473
NGC4216 183.976852 13.1494
NGC4217 183.962082 47.091789
NGC4220 184.048889 47.883354
NGC4224 184.140671 7.462119
NGC4235 184.291306 7.191658
NGC4237 184.297562 15.323948
NGC4258 184.740082 47.303719
NGC4260 184.842697 6.098803
NGC4266 184.926315 5.5382
NGC4274 184.961105 29.6147
NGC4275 184.969177 27.62089
NGC4276 185.031235 7.691995
NGC4289 185.259598 3.72196
NGC4293 185.303711 18.382401
NGC4298 185.386627 14.606049
NGC4303 185.478958 4.47359
NGC4307 185.523438 9.043552
NGC4312 185.630661 15.53792
NGC4313 185.660583 11.800867
NGC4314 185.63324 29.895304
NGC4316 185.675919 9.332812
NGC4321 185.728745 15.82238
NGC4330 185.821869 11.36798
NGC4343 185.911209 6.953936
NGC4369 186.150848 39.38298
NGC4370 186.228882 7.444566
NGC4378 186.325317 4.925024
NGC4380 186.342407 10.016705
NGC4383 186.356323 16.470005
NGC4384 186.300049 54.50613
NGC4385 186.428391 0.572589
NGC4389 186.39624 45.684669
NGC4394 186.481766 18.213926
NGC4402 186.531525 13.112794
NGC4405 186.529648 16.180849
NGC4419 186.735138 15.047423
NGC4421 186.76062 15.461305
NGC4424 186.798264 9.420519
NGC4430 186.859924 6.26264
NGC4438 186.940216 13.00859
NGC4440 186.973221 12.293191
NGC4450 187.123474 17.084949
NGC4457 187.24588 3.570607
NGC4469 187.366653 8.750175
NGC4488 187.714157 8.36013
NGC4492 187.748962 8.077909
NGC4501 187.996735 14.42041
NGC4519 188.37616 8.65446
NGC4527 188.5354 2.65381
NGC4531 188.566025 13.075527
NGC4532 188.580536 6.467703
NGC4535 188.584625 8.19776
NGC4536 188.613037 2.18788
NGC4539 188.644836 18.202579
NGC4540 188.711945 15.551446
NGC4548 188.860123 14.49632
NGC4565 189.086685 25.987391
NGC4567 189.136261 11.25787
NGC4568 189.142883 11.23863
NGC4569 189.207565 13.16287
NGC4571 189.234879 14.217357
NGC4579 189.431656 11.81809
NGC4580 189.45166 5.368432
NGC4586 189.618484 4.319099
NGC4606 190.239822 11.912186
NGC4607 190.301697 11.886627
NGC4631 190.533371 32.541512
NGC4634 190.670776 14.295874
NGC4647 190.884583 11.581944
NGC4653 190.962173 -0.561301
NGC4654 190.985992 13.12635
NGC4659 191.122391 13.498675
NGC4666 191.286148 -0.46191
NGC4668 191.383333 -0.535833
NGC4689 191.939682 13.762688
NGC4698 192.095566 8.487244
NGC4746 192.980713 12.083027
NGC4808 193.953918 4.304094
NGC4814 193.841431 58.343967
NGC4826 194.182068 21.682659
NGC4845 194.505173 1.57558
NGC4866 194.863083 14.17105
NGC4880 195.043884 12.483369
NGC5016 198.027863 24.095051
NGC5169 202.041809 46.672138
NGC5194 202.469574 47.195259
NGC5195 202.498291 47.266129
NGC5289 206.286118 41.503304
NGC5290 206.329712 41.712337
NGC5297 206.598724 43.87204
NGC5311 207.233582 39.985245
NGC5313 207.434814 39.984604
NGC5320 207.584915 41.366344
NGC5326 207.711304 39.574913
NGC5336 208.040604 43.242783
NGC5350 208.339935 40.363956
NGC5363 209.030182 5.2547
NGC5364 209.050018 5.01446
NGC5372 208.691681 58.666393
NGC5383 209.270752 41.846001
NGC5389 209.02652 59.741985
NGC5448 210.708633 49.172646
NGC5457 210.802429 54.348751
NGC5480 211.589676 50.724998
NGC5506 213.312088 -3.20756
NGC5520 213.09491 50.348434
NGC5566 215.083115 3.93359
NGC5577 215.304626 3.435767
NGC5587 215.544739 13.917938
NGC5633 216.868271 46.146549
NGC5666 218.288239 10.510788
NGC5673 217.878845 49.958813
NGC5676 218.195221 49.457809
NGC5689 218.873627 48.741493
NGC5691 219.472244 -0.398871
NGC5701 219.796005 5.363602
NGC5714 219.548096 46.638359
NGC5719 220.23497 -0.318193
NGC5746 221.233353 1.95474
NGC5750 221.546265 -0.223054
NGC5768 223.033112 -2.529713
NGC5775 223.490219 3.544473
NGC5792 224.59462 -1.09108
NGC5899 228.76355 42.049854
NGC5900 228.770905 42.209854
NGC5907 228.973694 56.32885
NGC5913 230.230988 -2.578036
NGC5930 231.533279 41.67609
NGC5937 232.69223 -2.829532
NGC5950 232.878433 40.430145
NGC5953 233.63501 15.193833
NGC5954 233.645833 15.2
NGC5956 233.743774 11.750359
NGC5962 234.131851 16.607893
NGC6570 272.780396 14.093122
NGC7331 339.26709 34.41592
NGC7448 345.014954 15.980365
NGC7537 348.643738 4.498339
NGC7541 348.682739 4.533899
NGC7732 355.391052 3.724953
NGC7750 356.657715 3.799756
NGC7757 357.189667 4.171108
PGC026857 141.978348 44.506252
PGC047559 202.907074 46.150974
PGC049002 207.18808 41.709625
PGC049142 207.672974 40.279335
PGC051697 217.097168 -3.604455
PGC054944 230.833893 -4.151604
UGC04306 124.403191 35.445976
UGC04550 130.816666 13.085848
UGC04559 131.031708 30.119106
UGC04982 140.762833 44.554878
UGC05049 142.230713 49.238419
UGC05897 161.922653 11.077123
UGC06023 163.586914 27.239655
UGC06545 173.433333 32.633611
UGC08040 193.681351 58.77652
UGC08603 204.14035 44.599228
UGC08684 205.566315 60.776775
UGC09858 231.672836 40.5644
