PGC050395,211.9135,54.79457,False,0,False,2322,37.2,-21.92,0.05,0,1.04
PGC056772,240.5483,7.085953,False,0,False,2655,39.5,-22.06,0.19,-2,0.93
PGC071531,352.1213,19.86396,False,0,False,2030,30.4,-21.74,0.53,-4,0.88
UGC03960,115.0949,23.27509,False,0,False,2255,33.2,-21.89,0.2,-4.9,1.24
UGC04551,131.0246,49.79397,False,0,False,1728,28,-22.92,0.1,-2,1.03
UGC05408,150.9661,59.43614,False,0,False,2998,45.8,-22.03,0.06,-3.3,0.84
UGC06062,164.6567,9.050468,False,0,False,2634,38.7,-22.82,0.13,-2,1.05
UGC06176,166.8528,21.65718,False,0,False,2677,40.1,-22.66,0.08,-2,1.03
UGC08876,209.2419,45.97318,False,0,False,2085,33.9,-22.37,0.04,-0.1,0.93
UGC09519,221.588,34.37065,False,0,False,1631,27.6,-21.98,0.09,-1.9,0.87
IC0065,15.23097,47.68198,False,0,False,2614,39.7,-23.54,0.64,4,1.38
IC0750,179.7176,42.7224,False,1,False,701,36.8,-24.71,0.09,2.1,1.24
IC0777,184.8492,28.30988,False,0,False,2541,39,-21.92,0.1,2.6,0.95
IC0800,188.4863,15.35454,False,0,False,2326,35.8,-22.2,0.16,5.2,1.56
IC0851,197.1431,21.04974,False,0,False,2615,39.8,-21.82,0.15,3.1,1.31
IC0902,204.0051,49.96072,False,0,False,1618,27.9,-21.81,0.05,3.1,1.18
IC1151,239.6347,17.44155,False,0,False,2169,33.7,-22.24,0.16,5.2,1.35
IC1158,240.392,1.707832,False,0,False,1927,29.4,-22.15,0.49,5.1,1.45
IC1447,337.4991,-5.119929,False,0,False,2953,41.6,-22.87,0.24,3.1,1.43
IC1596,13.67843,21.52265,False,0,False,2674,38.9,-21.54,0.21,2,1.13
IC1711,22.73028,17.18848,False,0,False,2801,40.2,-23.52,0.45,3,1.1
IC2327,125.3665,3.169287,False,0,False,2684,37.8,-21.96,0.11,1.1,1.06
IC2461,139.9918,37.19105,False,0,False,2260,34.7,-22.65,0.05,3.2,1.07
IC4582,236.4142,28.08871,False,0,False,2145,34,-22.09,0.13,4.1,0.97
IC5334,353.6517,-4.534227,False,0,False,2209,31.1,-22.5,0.18,2.7,1.04
NGC0063,4.43969,11.45036,True,1,False,1160,18.2,-22.08,0.48,-3,1.34
NGC0428,18.23212,0.981581,False,0,False,1152,16.7,-21.74,0.12,8.6,1.69
NGC0473,19.97947,16.54465,False,0,False,2134,31.1,-22.93,0.39,-0.3,1.23
NGC0493,20.53744,0.945335,False,0,False,2338,32.8,-22.32,0.14,5.9,1.5
NGC0514,21.01627,12.91735,False,1,False,2472,34.4,-23.55,0.17,5.3,1.72
NGC0573,22.70563,41.25732,False,0,False,2788,41.6,-22.03,0.22,0,1.02
NGC0628,24.17405,15.78346,False,3,False,657,7.2,-22.47,0.3,5.2,2.15
NGC0660,25.75979,13.64568,False,0,False,850,13.5,-23.33,0.28,1.2,1.84
NGC0678,27.35358,21.9973,False,0,False,2835,40.9,-24.39,0.37,3,1.29
NGC0693,27.62853,6.14521,False,0,False,1567,22.5,-22.56,0.23,0.2,1.21
NGC0718,28.30548,4.195917,False,0,False,1733,24.6,-23.23,0.16,1,1.37
NGC0779,29.9276,-5.964152,False,2,False,1362,23,-23.75,0.12,3,1.47
NGC0803,30.93625,16.03096,False,0,False,2101,30.4,-22.61,0.22,5.3,1.44
NGC0864,33.86517,6.00262,False,0,False,1562,22.4,-23.24,0.21,5.1,1.92
NGC0895,35.40196,-5.521394,False,1,False,2288,36.6,-23.42,0.11,6,1.66
NGC0955,37.63796,-1.108482,False,0,False,1487,20.8,-22.85,0.16,2,1.18
NGC1012,39.81235,30.15167,False,0,False,987,16.3,-21.77,0.63,0,1.47
NGC1015,39.54819,-1.318618,False,0,False,2629,36.3,-23.47,0.14,1,1.35
NGC1032,39.84867,1.093801,False,0,False,2694,37.4,-24.5,0.16,0.4,1.37
NGC1068,40.66988,-0.01329,False,2,False,1137,19,-25.62,0.14,3,1.52
NGC1073,40.91916,1.37587,False,0,False,1208,17.2,-22.22,0.17,5.3,1.94
NGC1090,41.64132,-0.247042,False,0,False,2760,38.2,-23.72,0.14,3.7,1.6
NGC1924,82.00821,-5.310648,False,1,False,2558,31.6,-23.2,0.46,4,1.35
