name	objID	ra	dec	run	rerun	camcol	field	type	modelMag_u	modelMag_g	modelMag_r	modelMag_i	modelMag_z
NGC5770	1237651822712586281	223.31258303	3.95975037	1478	301	4	102	GALAXY	14.518442	12.752369	12.016454	11.644794	11.413
NGC5813	1237651736313659437	225.29681571	1.70199962	1458	301	3	671	GALAXY	13.803001	11.825428	10.940907	10.502897	10.175325
NGC6010	1237648705138130982	238.57983541	0.54304707	752	301	5	635	GALAXY	14.986281	13.016775	12.116999	11.620031	11.32616
NGC6014	1237662263790403746	238.98923904	5.93197754	3909	301	4	290	GALAXY	14.957797	13.443855	12.679929	12.300303	12.010256
NGC6017	1237662263790534889	239.31435795	5.99838244	3909	301	4	292	GALAXY	15.269351	13.537678	12.723543	12.28109	11.985038
NGC6278	1237662301379035160	255.20969194	23.01103597	3918	301	2	407	GALAXY	15.152901	13.109078	12.198632	11.766	11.436312
NGC7280	1237678602369171584	336.61493716	16.14817906	7713	301	5	81	GALAXY	14.534666	12.732992	11.930169	11.536927	11.334061
NGC7332	1237666246295552077	339.35224285	23.79829736	4836	301	6	240	GALAXY	13.623241	11.795071	11.076103	10.611414	10.414976
NGC7454	1237678601299034260	345.27714266	16.38844894	7713	301	3	136	GALAXY	14.415586	12.623625	11.81801	11.409775	11.135839
NGC7693	1237678882091433995	353.29378619	-1.29192003	7778	301	6	272	GALAXY	15.617518	14.123859	13.549274	13.24619	13.003546
NGC7710	1237678879944212544	353.94231777	-2.88093639	7778	301	2	276	GALAXY	16.064505	14.247782	13.420151	12.971923	12.666093
PGC042549	1237671267105112075	190.31654957	-5.00910936	6005	301	6	130	GALAXY	15.581337	13.877002	13.17579	12.79363	12.534487
PGC044433	1237661951332384823	194.57842183	13.39151457	3836	301	6	303	GALAXY	16.180468	14.289988	13.489577	13.098687	12.834397
PGC050395	1237661387604361236	211.91364892	54.79469253	3705	301	4	96	GALAXY	15.879783	14.243875	13.517755	13.16292	12.921853
PGC056772	1237661949741760535	240.54845635	7.08609934	3836	301	3	608	GALAXY	15.922502	14.377466	13.574735	13.160489	12.824018
PGC071531	1237680246811132005	352.12122146	19.86377679	8096	301	4	178	GALAXY	16.447033	14.494713	13.610777	13.208209	12.842834
UGC03960	1237657879148953915	115.09477141	23.27497433	2888	301	5	35	GALAXY	15.733265	14.058499	13.314546	12.915178	12.7234
UGC04551	1237654383586377814	131.02466753	49.7939812	2074	301	6	95	GALAXY	14.869908	13.098371	12.316741	11.880394	11.5859
UGC05408	1237651249881153539	150.96608728	59.43628771	1345	301	1	252	GALAXY	15.3048	14.343927	13.777642	13.582546	13.389351
UGC06062	1237658492272705620	164.65652278	9.05045224	3031	301	3	297	GALAXY	15.631052	13.784846	12.967974	12.576098	12.259548
UGC06176	1237667782827376706	166.85285147	21.65708172	5194	301	4	351	GALAXY	15.500149	14.009205	13.269883	12.873326	12.577032
UGC08876	1237661435926216778	209.24194268	45.97327772	3716	301	6	149	GALAXY	15.678419	13.844659	13.093685	12.67212	12.427938
UGC09519	1237662663209124003	221.58794693	34.37058643	4002	301	4	88	GALAXY	15.598471	13.788735	12.948642	12.539601	12.222078
