NGC3838,176.057205,57.948101,0,0,0,1308,23.5,-22.52,0.05,0.0,1.04,146.198894809
NGC3945,178.307190,60.675560,0,0,0,1281,23.2,-24.31,0.12,-1.2,1.45,148.08707483
NGC3998,179.484039,55.453564,1,2,0,1048,13.7,-23.33,0.07,-2.1,1.30,250.486193515
NGC4026,179.854950,50.961689,1,2,0,985,13.2,-23.03,0.09,-1.8,1.31,259.938838991
NGC4036,180.362045,61.895699,0,0,0,1385,24.6,-24.40,0.10,-2.6,1.46,139.668905342
NGC4111,181.763031,43.065392,1,1,0,792,14.6,-23.27,0.06,-1.4,1.08,235.094931844
NGC4119,182.040176,10.378720,0,0,1,1656,16.5,-22.60,0.12,-1.3,1.60,208.093755535
NGC4143,182.400360,42.534218,1,2,0,946,15.5,-23.10,0.05,-1.9,1.39,221.483159187
NGC4150,182.640228,30.401487,1,4,0,208,13.4,-21.65,0.08,-2.1,1.20,256.073598017
NGC4179,183.217087,1.299673,0,0,1,1300,16.5,-23.18,0.14,-1.9,1.30,208.093755535
NGC4191,183.459915,7.200842,0,0,0,2646,39.2,-23.10,0.09,-1.8,1.06,87.6786054529
NGC4203,183.770935,33.197243,1,2,0,1087,14.7,-23.44,0.05,-2.7,1.47,233.500577645
NGC4215,183.977142,6.401132,0,0,0,2011,31.5,-23.43,0.07,-0.9,1.18,109.098177867
NGC4249,184.497650,5.598720,0,0,0,2618,38.7,-21.98,0.09,-1.3,1.10,88.8109032337
NGC4255,184.734100,4.785923,0,0,0,1995,31.2,-22.99,0.09,-1.9,1.10,110.146484433
NGC4259,184.842468,5.376242,0,0,0,2497,37.2,-22.19,0.08,-2.0,0.89,92.3902973174
NGC4261,184.846924,5.824710,1,5,0,2212,30.8,-25.18,0.08,-4.8,1.58,111.575960325
NGC4264,184.899078,5.846804,0,0,0,2518,37.5,-23.00,0.08,-1.1,1.14,91.6515265328
NGC4268,184.946762,5.283650,0,0,0,2034,31.7,-23.05,0.08,-0.3,1.20,108.410318986
NGC4270,184.955978,5.463371,0,0,0,2331,35.2,-23.69,0.08,-2.0,1.21,97.6369993436
NGC4278,185.028320,29.280619,1,9,0,620,15.6,-23.80,0.13,-4.8,1.50,220.067283332
NGC4281,185.089691,5.386430,0,1,0,2671,24.4,-24.01,0.09,-1.5,1.34,140.812457549
NGC4283,185.086609,29.310898,1,3,0,1056,15.3,-21.80,0.11,-4.8,1.09,224.370201776
NGC4324,185.775726,5.250488,0,0,1,1665,16.5,-22.61,0.10,-0.9,1.30,208.093755535
NGC4339,185.895599,6.081713,1,3,1,1266,16.0,-22.49,0.11,-4.7,1.48,214.5800625
NGC4342,185.912598,7.053936,0,0,1,761,16.5,-22.07,0.09,-3.4,0.82,208.093755535
NGC4346,185.866425,46.993881,1,1,0,832,13.9,-22.55,0.05,-2.0,1.29,246.894545894
NGC4365,186.117615,7.317520,2,13,0,1243,23.3,-25.21,0.09,-4.8,1.72,147.452288891
NGC4382,186.350220,18.191080,2,7,1,746,17.9,-25.13,0.13,-1.3,1.82,191.853466431
NGC4494,187.850143,25.774981,1,9,0,1342,16.6,-24.11,0.09,-4.8,1.69,206.843211112
NGC4526,188.512619,7.699140,1,5,1,617,16.4,-24.62,0.10,-1.9,1.65,209.359494348
NGC4546,188.872940,-3.793227,1,2,0,1057,13.7,-23.30,0.15,-2.7,1.40,250.486193515
NGC4570,189.222504,7.246663,2,1,1,1787,17.1,-23.48,0.09,-2.0,1.30,200.809118504
NGC4612,190.386490,7.314782,2,1,1,1775,16.6,-22.55,0.11,-2.0,1.40,206.843211112
NGC4623,190.544601,7.676934,2,1,1,1807,17.4,-21.74,0.10,-1.5,1.31,197.35456071
NGC4624,191.274826,3.055684,0,0,1,912,16.5,-23.67,0.10,-0.6,1.64,208.093755535
NGC4636,190.707779,2.687780,1,11,0,930,14.3,-24.36,0.12,-4.8,1.95,240.011145631
NGC4643,190.833893,1.978399,0,0,1,1333,16.5,-23.69,0.13,-0.6,1.38,208.093755535
NGC4684,191.822861,-2.727538,1,1,0,1560,13.1,-22.21,0.12,-1.2,1.32,261.915464102
NGC4694,192.062881,10.983624,0,0,1,1171,16.5,-22.15,0.17,-2.0,1.47,208.093755535
NGC4710,192.412323,15.165490,0,0,1,1102,16.5,-23.53,0.13,-0.9,1.48,208.093755535
NGC4733,192.778259,10.912103,1,1,1,925,14.5,-21.80,0.09,-3.8,1.52,236.711173742
NGC4753,193.092133,-1.199690,1,3,0,1163,22.9,-25.09,0.14,-1.4,1.69,150.024633863
NGC4754,193.073181,11.313660,2,3,1,1351,16.1,-23.64,0.14,-2.5,1.50,213.250694132
NGC4762,193.233536,11.230800,0,2,0,986,22.6,-24.48,0.09,-1.8,1.64,152.013533304
NGC5173,202.105301,46.591572,0,0,0,2424,38.4,-22.88,0.12,-4.9,1.01,89.5044261224
NGC5198,202.547546,46.670830,0,0,0,2519,39.6,-24.10,0.10,-4.8,1.38,86.7933411944
NGC5308,206.751633,60.973038,0,6,0,1998,31.5,-24.13,0.08,-2.1,1.25,109.098177867
NGC5322,207.313339,60.190411,1,5,0,1780,30.3,-25.26,0.06,-4.8,1.60,113.41582291
NGC5342,207.857910,59.863014,0,0,0,2189,35.5,-22.61,0.05,-2.0,0.97,96.8123359729
NGC5353,208.361420,40.283123,0,0,0,2198,35.2,-25.11,0.05,-2.1,1.30,97.6369993436
NGC5355,208.439850,40.338795,0,0,0,2344,37.1,-22.40,0.05,-2.1,1.06,92.6392073879
NGC5358,208.501801,40.277420,0,0,0,2412,38.0,-22.01,0.04,-0.2,1.05,90.4461455265
NGC5379,208.893112,59.742825,0,0,0,1774,30.0,-22.08,0.08,-2.0,1.32,114.54914598
NGC5422,210.175262,55.164478,0,0,0,1838,30.8,-23.69,0.06,-1.5,1.33,111.575960325
NGC5500,212.563522,48.546066,0,0,0,1914,31.7,-21.93,0.09,-4.9,1.18,108.410318986
NGC5507,213.332825,-3.148860,0,0,0,1851,28.5,-23.19,0.26,-2.3,1.09,120.573228781
NGC5574,215.233109,3.237995,1,1,0,1589,23.2,-22.30,0.13,-2.8,1.13,148.08707483
NGC5576,215.265381,3.271049,1,3,0,1506,24.8,-24.15,0.13,-4.8,1.34,138.543767342
NGC5631,216.638687,56.582664,1,1,0,1944,27.0,-23.70,0.09,-1.9,1.32,127.2657838
NGC5638,217.418289,3.233443,1,3,0,1652,25.6,-23.80,0.14,-4.8,1.45,134.218743806
NGC5687,218.718201,54.475685,1,1,0,2143,27.2,-23.22,0.05,-3.0,1.36,126.330851331
NGC5831,226.029266,1.219917,1,3,0,1645,26.4,-23.69,0.25,-4.8,1.40,130.155455384
NGC5838,226.359467,2.099356,0,0,0,1341,21.8,-24.13,0.23,-2.6,1.40,157.584338297
NGC5839,226.364471,1.634633,1,1,0,1220,22.0,-22.53,0.23,-2.0,1.22,156.15373215
NGC5845,226.503281,1.633824,1,2,0,1472,25.2,-22.92,0.23,-4.9,0.80,136.346983967
NGC5846,226.621887,1.605637,1,6,0,1712,24.2,-25.01,0.24,-4.7,1.77,141.974879487
NGC5854,226.948853,2.568560,0,0,0,1663,26.2,-23.30,0.23,-1.1,1.26,131.148048407
NGC5864,227.389786,3.052741,0,0,0,1874,29.0,-23.62,0.19,-1.7,1.35,118.496040653
NGC5866,226.623169,55.763309,1,3,0,755,14.9,-24.00,0.06,-1.3,1.56,230.375780277
NGC5869,227.456055,0.469967,0,1,0,2065,24.9,-23.27,0.24,-2.3,1.31,137.987965308
NGC6149,246.851151,19.597290,0,0,0,2427,37.2,-22.60,0.30,-1.9,1.03,92.3902973174
NGC7457,345.249725,30.144892,1,3,0,844,12.9,-22.38,0.23,-2.6,1.56,265.960108121
NGC7465,345.503967,15.964876,0,0,0,1960,29.3,-22.82,0.33,-1.9,0.90,117.283716698
PGC016060,72.143387,-3.867104,0,0,0,2764,37.8,-22.64,0.19,-0.6,1.01,90.9244740013
PGC028887,149.931290,11.660812,0,0,0,2833,41.0,-22.26,0.17,0.0,1.08,83.8308616378
PGC029321,151.463226,12.961213,0,0,0,2816,40.9,-21.66,0.16,0.0,0.89,84.0357455264
PGC035754,173.614716,33.178913,0,0,0,2534,39.0,-21.90,0.11,-3.0,0.83,88.1280428631
PGC051753,217.310318,44.699104,0,0,0,2418,38.3,-21.92,0.05,0.0,1.01,89.7380131339
PGC054452,228.894180,2.248187,0,0,0,1918,29.5,-21.59,0.18,-2.0,1.14,116.489183455
IC0163,27.312431,20.711317,0,0,0,2749,39.7,-22.38,0.36,8.0,1.35,86.5748107094
IC0540,142.542755,7.902529,0,0,0,2035,30.0,-21.89,0.26,3.5,1.08,114.54914598
IC0591,151.865479,12.274520,0,0,0,2839,41.2,-21.82,0.15,6.0,1.19,83.4240758426
IC0610,156.618179,20.228252,0,0,0,1170,19.6,-21.53,0.09,3.9,1.02,175.24329126
IC1029,218.113373,49.904766,0,0,0,2383,37.9,-23.95,0.08,3.1,1.22,90.6846791627
IC1048,220.741150,4.890127,0,0,0,1636,26.2,-22.56,0.16,3.0,1.31,131.148048407
IC1066,223.261780,3.295883,0,0,0,1577,25.3,-21.55,0.21,4.9,1.25,135.80862473
IC1067,223.271805,3.331717,0,0,0,1577,25.3,-22.18,0.21,3.0,1.28,135.80862473
IC1125,233.273407,-1.628264,0,0,0,2796,40.8,-22.48,0.66,7.3,1.27,84.2416331463
IC2098,72.684601,-5.418544,0,0,0,2819,38.5,-22.74,0.21,5.9,1.10,89.2720517297
IC3102,184.357605,6.689988,0,0,1,2235,16.5,-22.07,0.10,-0.9,1.49,208.093755535
